trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
368,True,"{'a': 0, 'e': 0}",35,0,-178.7237983385506,"{0: 20, 1: 3, 2: 10, 3: 0, 4: 2}",0
369,True,"{'a': 0, 'e': 0}",25,0,-103.9033518538379,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
370,True,"{'a': 0, 'e': 0}",20,8,-68.52674290156943,"{0: 8, 1: 1, 2: 0, 3: 2, 4: 1}",1
371,True,"{'a': 0, 'e': 0}",20,0,-122.9799975117885,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
372,True,"{'a': 0, 'e': 0}",30,0,-235.97888467142553,"{0: 10, 1: 7, 2: 10, 3: 0, 4: 3}",0
373,True,"{'a': 0, 'e': 0}",20,0,-113.35312481525351,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
374,True,"{'a': 0, 'e': 0}",30,0,-203.31295847418204,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
375,True,"{'a': 0, 'e': 0}",20,0,-46.44313921755693,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
376,True,"{'a': 0, 'e': 0}",20,0,-45.47876181175464,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
377,True,"{'a': 0, 'e': 0}",20,0,-75.78038010943456,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
378,True,"{'a': 0, 'e': 0}",20,0,-88.40063930363436,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
379,True,"{'a': 0, 'e': 0}",25,0,-195.63793246910825,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
380,True,"{'a': 0, 'e': 0}",20,0,-40.24386376983587,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
381,True,"{'a': 0, 'e': 0}",30,0,-163.54651387506783,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
382,True,"{'a': 0, 'e': 0}",25,0,-149.62285907649442,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
383,True,"{'a': 0, 'e': 0}",20,0,-160.8714936149808,"{0: 6, 1: 6, 2: 6, 3: 0, 4: 2}",0
384,True,"{'a': 0, 'e': 0}",20,0,-35.18900210263028,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
385,True,"{'a': 0, 'e': 0}",20,0,-198.55838533792496,"{0: 10, 1: 3, 2: 1, 3: 3, 4: 3}",0
386,True,"{'a': 0, 'e': 0}",25,0,-146.09549620741151,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
387,True,"{'a': 0, 'e': 0}",20,0,-126.34373511286586,"{0: 7, 1: 6, 2: 4, 3: 3, 4: 0}",0
388,True,"{'a': 0, 'e': 0}",30,0,-117.93396617681492,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
389,True,"{'a': 0, 'e': 0}",35,0,-303.0820938215922,"{0: 16, 1: 3, 2: 11, 3: 0, 4: 5}",0
390,True,"{'a': 0, 'e': 0}",25,0,-158.904521271196,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
391,True,"{'a': 0, 'e': 0}",25,12,-35.67949382819034,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
392,True,"{'a': 0, 'e': 0}",20,0,-159.15193473025727,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
393,True,"{'a': 0, 'e': 0}",20,0,-89.36844885754033,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
394,True,"{'a': 0, 'e': 0}",25,0,-124.1206654773439,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
395,True,"{'a': 0, 'e': 0}",30,10,-156.8646435568428,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",1
396,True,"{'a': 0, 'e': 0}",25,0,-73.43904068375994,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
397,True,"{'a': 0, 'e': 0}",25,0,-115.25811919726638,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
398,True,"{'a': 0, 'e': 0}",20,0,-145.95861811618695,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
